Donor Name,Food Type,Quantity (kg),Location,Donation Date,Transport Mode,Donor Type,Donation Frequency (per month),Average Donation Duration (hours)
Brown-Campbell,Bakery,79.19,Lynnberg,2023-12-12,Walk,Supermarket,7,1.2
Campbell-Jackson,Vegetables,48.1,North Marcusfort,2024-01-06,Drone,Supermarket,3,1.8
"Smith, Alexander and Reese",Fruits,35.0,South Charlesfort,2024-01-20,Drone,Grocery Store,4,2.5
"Tapia, Rosario and Jackson",Bakery,69.31,Dianebury,2024-01-31,Drone,Farm,3,0.8
"Johns, Dillon and May",Meat,71.92,New Billy,2024-08-31,Truck,Restaurant,1,1.4
Myers Inc,Frozen Food,76.11,Lauriechester,2024-06-01,Drone,Restaurant,6,0.8
"Daniels, Maldonado and Henderson",Meat,54.26,East Danielport,2024-02-21,Walk,Farm,9,2.1
"Anderson, Wolfe and Nixon",Grains,8.96,Carrollville,2024-04-05,Truck,Restaurant,9,2.2
"Thomas, Reynolds and Harris",Meat,58.8,West Tami,2024-10-28,Walk,Farm,9,1.4
Raymond Group,Meat,79.58,Farleyburgh,2024-04-06,Bike,Grocery Store,9,2.1
"Williamson, May and Barton",Meat,13.49,Lake Abigail,2024-05-30,Truck,Restaurant,1,2.3
"Hayes, Alvarez and Gonzalez",Fruits,90.85,Hoffmanshire,2024-05-24,Drone,Restaurant,7,1.2
Herman PLC,Meat,14.13,North Catherinetown,2024-03-11,Truck,Farm,6,1.1
David-Sanchez,Dairy,62.96,West Kristystad,2024-01-06,Drone,Grocery Store,3,2.9
"Moody, Edwards and Stone",Frozen Food,22.41,Perezview,2024-01-20,Bike,Restaurant,3,1.0
Elliott-Shields,Grains,75.08,Jamieview,2024-04-01,Van,Restaurant,3,2.6
Rogers LLC,Vegetables,52.17,Sharonside,2024-01-05,Truck,Farm,3,1.4
Mejia Inc,Bakery,94.68,Cherylville,2024-04-03,Walk,Supermarket,3,1.8
Hardin-Martinez,Grains,11.62,Nelsonport,2024-07-02,Bike,Restaurant,5,1.4
Adams Inc,Dairy,24.7,Lake Laurachester,2024-06-28,Walk,Supermarket,4,0.6
Ramirez-Hunt,Fruits,25.7,Annastad,2023-12-17,Bike,Food Bank,8,0.5
Shepherd Inc,Canned Goods,45.61,Weaverside,2024-03-28,Truck,Grocery Store,3,2.3
Johnson-Young,Frozen Food,95.66,South Cynthia,2024-07-28,Truck,Restaurant,9,1.6
Barnett-Nichols,Frozen Food,8.58,Kelleyfort,2024-08-19,Truck,Food Bank,4,1.0
"Brooks, Rodriguez and Flores",Bakery,48.56,Lake William,2024-07-17,Drone,Restaurant,7,1.8
Sanchez-Robertson,Vegetables,77.12,Millerberg,2023-11-27,Truck,Food Bank,4,0.8
Mckee-Pena,Canned Goods,90.09,North Tabitha,2024-06-19,Bike,Farm,2,1.7
Ellis Ltd,Grains,20.09,Cookton,2024-05-10,Walk,Food Bank,7,2.7
"White, Hines and Herrera",Snacks,20.52,Knappmouth,2023-12-04,Walk,Supermarket,5,2.8
Flores-Simmons,Dairy,9.46,Port Deborahtown,2024-03-16,Walk,Supermarket,1,1.9
Frazier Group,Frozen Food,87.82,Thomasfort,2024-01-02,Truck,Supermarket,5,2.7
Hansen Ltd,Frozen Food,17.87,South Erin,2024-03-02,Drone,Food Bank,7,1.4
"Patton, Harding and Ruiz",Vegetables,36.41,Lake Brandonmouth,2024-01-23,Bike,Grocery Store,6,1.2
"Reynolds, Schmidt and Smith",Vegetables,98.85,Pierceshire,2024-09-17,Drone,Grocery Store,8,2.3
"Lindsey, Mitchell and Hernandez",Fruits,87.64,New Johnstad,2024-07-22,Walk,Supermarket,8,1.3
"Sandoval, Travis and Underwood",Vegetables,66.51,South William,2024-09-23,Van,Supermarket,8,0.5
Rivera-Andrews,Grains,73.85,Port Petertown,2024-06-23,Walk,Grocery Store,5,2.9
"Cervantes, Hunter and Stevens",Snacks,42.97,Port Andrew,2024-10-30,Walk,Supermarket,9,1.7
Owens and Sons,Dairy,97.04,Patrickmouth,2024-01-28,Truck,Farm,9,2.9
Stevens-Blankenship,Grains,64.12,Lake Sean,2023-12-21,Truck,Farm,1,0.8
Miller PLC,Dairy,14.12,West Wendy,2024-01-15,Walk,Farm,1,1.5
"Wright, Chavez and Maynard",Meat,99.04,New Jenniferberg,2024-08-16,Truck,Grocery Store,8,3.0
"Bennett, Sherman and Turner",Grains,6.16,Garciaside,2024-10-17,Walk,Supermarket,2,0.8
"West, Johnson and Scott",Dairy,54.74,East Ariana,2024-11-04,Walk,Grocery Store,4,1.8
Phillips-Garcia,Frozen Food,14.38,New Derekhaven,2024-03-04,Truck,Grocery Store,7,2.5
Fischer Ltd,Dairy,74.9,Tabithaland,2024-07-31,Van,Supermarket,8,0.9
"Mccormick, Hodges and Perez",Frozen Food,56.02,Davisville,2024-09-11,Van,Food Bank,4,1.4
Simon LLC,Grains,86.1,West Heatherstad,2023-12-03,Drone,Grocery Store,4,1.3
Sparks-Roberts,Frozen Food,78.99,New Natashaview,2024-09-07,Van,Grocery Store,7,0.6
Sweeney-Moreno,Frozen Food,14.21,Chapmanberg,2023-12-20,Van,Supermarket,7,0.8
Watts-Johnson,Dairy,52.72,Port Michael,2023-12-05,Walk,Restaurant,5,0.7
Terrell PLC,Vegetables,11.96,Dixonberg,2024-08-01,Truck,Supermarket,4,2.9
Robinson-Sanchez,Fruits,9.61,New Clayton,2024-06-01,Walk,Food Bank,9,1.5
Garcia-Reed,Snacks,78.4,New Victoria,2023-11-28,Truck,Supermarket,8,1.7
Flores LLC,Snacks,76.95,Lake Stephanieberg,2024-01-29,Walk,Food Bank,8,1.6
Ryan Ltd,Snacks,29.02,Lake Jennifer,2024-04-23,Truck,Food Bank,7,2.9
"Harper, Lane and Robinson",Bakery,90.11,Figueroamouth,2024-06-04,Van,Food Bank,4,2.2
Reyes-Rodriguez,Frozen Food,54.6,Lanebury,2024-08-06,Truck,Food Bank,7,2.1
"Harrison, Henderson and Lambert",Canned Goods,33.02,West Timothy,2024-03-19,Truck,Restaurant,3,1.5
"Gray, Wang and Cruz",Vegetables,69.15,New Riley,2023-12-22,Walk,Food Bank,3,1.1
"Murray, Rivera and Franklin",Bakery,51.55,Lake Alexandraberg,2024-06-01,Bike,Food Bank,6,1.6
"House, Christian and Silva",Dairy,44.88,Timothyburgh,2024-04-20,Drone,Restaurant,7,2.0
"Reyes, Garcia and Cervantes",Bakery,22.03,New Samuel,2023-11-25,Drone,Supermarket,4,0.7
"Baker, Reyes and Stevens",Fruits,96.48,North Tristan,2024-11-07,Van,Restaurant,8,2.2
"Beasley, James and Jones",Meat,84.83,South Maria,2024-10-06,Bike,Food Bank,1,1.0
Wright-Rivera,Snacks,93.03,South Robin,2024-02-04,Walk,Food Bank,4,1.8
Martinez and Sons,Bakery,75.95,Danatown,2024-04-26,Walk,Restaurant,3,2.4
Mitchell-Rodriguez,Dairy,42.4,New James,2024-04-25,Truck,Restaurant,1,0.9
Ewing and Sons,Frozen Food,81.9,Holtville,2024-01-14,Truck,Supermarket,7,1.0
Blankenship Inc,Snacks,22.98,Pamelahaven,2024-10-19,Truck,Supermarket,7,2.5
Webb and Sons,Meat,98.93,Cunninghamville,2024-04-08,Van,Grocery Store,9,2.7
"Wong, Johnson and Peterson",Snacks,9.67,South Darrellmouth,2024-06-07,Bike,Farm,7,0.6
Mitchell Inc,Canned Goods,16.72,Hawkinsburgh,2024-04-24,Drone,Supermarket,7,1.4
Doyle PLC,Snacks,77.0,Williamstown,2024-08-03,Drone,Supermarket,6,1.7
Franklin and Sons,Meat,28.54,Port Michael,2024-05-05,Truck,Restaurant,9,0.9
"Taylor, Garcia and Wagner",Frozen Food,86.37,Jimenezburgh,2024-03-15,Drone,Supermarket,2,0.6
Meyer-Green,Grains,81.56,Lake Shellyfurt,2024-05-01,Bike,Restaurant,1,0.9
Vazquez and Sons,Vegetables,75.73,South Kevin,2024-06-19,Bike,Grocery Store,3,1.3
"Tucker, Flynn and Contreras",Canned Goods,71.77,Williamsshire,2024-02-15,Truck,Food Bank,3,1.1
"Mills, Huffman and Watts",Vegetables,8.14,Nicolechester,2024-02-18,Bike,Supermarket,7,1.4
Pena Ltd,Fruits,91.03,Christopherfort,2023-11-18,Walk,Farm,5,0.8
Hines Group,Bakery,97.2,East Jennifer,2024-01-24,Van,Supermarket,3,2.3
"Ortega, Goodman and Martin",Dairy,67.17,Elliottmouth,2023-12-22,Walk,Restaurant,4,1.0
"Newman, Chang and Murillo",Snacks,46.4,Sheaton,2023-11-29,Walk,Food Bank,8,0.7
"Alvarez, Bailey and Gomez",Meat,55.85,North Timothymouth,2023-11-26,Walk,Supermarket,8,0.8
"Martin, Brooks and Peters",Meat,11.78,Port Patricia,2024-05-03,Walk,Restaurant,9,2.6
"Williams, Jones and Nguyen",Bakery,88.95,Gonzalezshire,2023-12-09,Truck,Supermarket,3,2.5
Morgan Inc,Meat,45.98,Morganborough,2023-11-25,Van,Farm,1,2.1
Ibarra and Sons,Fruits,70.12,Stewartside,2024-06-22,Truck,Food Bank,6,1.7
Flores Inc,Vegetables,37.02,Angelachester,2024-07-28,Van,Supermarket,4,1.0
Robertson-Ball,Bakery,58.09,Branditown,2024-10-06,Van,Supermarket,7,2.5
Knight Group,Grains,76.27,Lake Richardborough,2024-07-04,Truck,Supermarket,2,1.8
"Adams, Villarreal and Harvey",Dairy,29.76,East Michaelshire,2024-09-16,Walk,Supermarket,6,2.1
"Blackburn, Cook and Salinas",Bakery,86.03,Thompsonville,2024-04-16,Bike,Supermarket,5,2.3
Wagner and Sons,Bakery,57.29,East Amberview,2024-04-07,Drone,Farm,2,1.4
Anderson-Santiago,Grains,90.1,Jefferytown,2024-06-05,Truck,Supermarket,7,1.7
"Burnett, Alexander and Hill",Meat,35.7,Port Shawnborough,2024-06-27,Drone,Food Bank,8,3.0
"Turner, Gonzalez and Snyder",Canned Goods,69.82,Waynestad,2024-07-16,Van,Food Bank,6,2.3
Guerrero and Sons,Snacks,48.92,West Michelle,2024-10-15,Truck,Restaurant,8,2.0
Scott Ltd,Vegetables,87.9,East Patricia,2024-03-26,Van,Farm,4,2.7
Martinez Inc,Dairy,62.13,Stevenstown,2024-04-14,Truck,Food Bank,5,1.5
"Martin, Hansen and Gomez",Canned Goods,50.44,Taylormouth,2024-09-24,Walk,Restaurant,3,0.8
"Krueger, Liu and Gutierrez",Grains,12.15,Ryanfort,2024-08-17,Van,Food Bank,9,2.8
Frazier Ltd,Meat,19.53,Hillberg,2024-03-10,Drone,Restaurant,1,2.5
Mathews Inc,Bakery,66.54,Thomashaven,2024-10-12,Walk,Restaurant,7,2.4
Owens-Martinez,Snacks,78.37,North Samuel,2024-05-12,Walk,Grocery Store,2,0.7
Rodriguez-Butler,Canned Goods,10.78,South Monicamouth,2024-05-28,Bike,Farm,5,0.7
"Lee, Cohen and Garcia",Fruits,32.99,New Patrick,2024-03-15,Van,Farm,9,2.6
"Hoover, Kelly and Thompson",Frozen Food,62.23,Donaldshire,2024-01-26,Walk,Farm,4,3.0
Wheeler PLC,Frozen Food,65.56,Hallville,2024-08-05,Van,Restaurant,8,1.3
Erickson-Cortez,Meat,70.75,Chelseafort,2024-04-13,Van,Grocery Store,3,2.0
"Davis, Brown and Atkins",Frozen Food,64.73,Lake Brenda,2024-04-02,Bike,Supermarket,3,1.9
"Simmons, Stewart and Landry",Bakery,95.25,East Melissa,2024-09-13,Bike,Restaurant,1,2.4
Davis Group,Canned Goods,40.25,Harrisonbury,2024-05-14,Van,Supermarket,1,2.0
"Sanchez, Leon and Aguilar",Frozen Food,13.0,West Nancy,2024-01-25,Van,Grocery Store,3,2.9
Nguyen PLC,Fruits,13.22,Schmidtberg,2024-08-23,Drone,Restaurant,1,1.6
Johnson Group,Snacks,92.54,West Julia,2024-01-25,Van,Grocery Store,9,1.0
Moody-Washington,Bakery,75.58,Johnsonfort,2023-12-08,Drone,Farm,6,0.8
"Parker, Black and Jones",Bakery,99.95,West Jeffrey,2024-06-02,Truck,Supermarket,4,1.3
Carter-Stanley,Canned Goods,39.17,Lake Juan,2023-12-22,Walk,Food Bank,2,2.4
"Scott, Jackson and Adams",Snacks,54.58,West Angelaside,2024-06-08,Drone,Food Bank,1,2.6
"Dyer, Molina and Walker",Meat,70.33,Andersonchester,2024-02-21,Bike,Supermarket,1,1.5
"Huff, Patel and Austin",Meat,56.32,Parkermouth,2024-09-13,Drone,Grocery Store,7,1.7
"Thomas, Weaver and Rodriguez",Grains,36.23,Carrieland,2024-04-09,Walk,Food Bank,6,1.7
"Riggs, Wagner and Gonzalez",Frozen Food,85.89,East Kevinchester,2024-04-23,Drone,Grocery Store,2,0.9
Burton-Dawson,Vegetables,83.94,Adamshaven,2024-06-12,Walk,Restaurant,5,1.4
Cobb-Gay,Bakery,27.54,Weaverview,2023-12-30,Truck,Food Bank,8,3.0
Wallace-Williams,Snacks,16.27,South John,2024-02-10,Walk,Supermarket,8,2.4
Williams Ltd,Vegetables,90.28,Denisefort,2024-06-09,Drone,Food Bank,2,0.6
Fernandez Ltd,Grains,43.53,New Amanda,2024-09-29,Van,Grocery Store,7,2.5
Newman-Garcia,Snacks,40.63,Lake Kyliefort,2024-08-18,Truck,Supermarket,4,2.2
Williams LLC,Vegetables,68.62,East Jeremyshire,2024-01-12,Van,Supermarket,7,2.5
Estrada-Valenzuela,Fruits,55.93,Marcusport,2024-01-20,Bike,Food Bank,7,1.1
Dawson Group,Dairy,97.1,Sharonland,2024-08-13,Walk,Farm,5,2.0
Carlson-Cunningham,Canned Goods,36.13,Dorseyfort,2024-01-18,Van,Farm,1,1.3
"Richardson, Shelton and Mccoy",Dairy,52.28,West Samantha,2024-11-10,Van,Farm,2,0.9
"Brown, Marquez and Moreno",Fruits,7.51,Kristinaborough,2024-07-14,Van,Restaurant,5,1.4
Rodriguez-Vasquez,Grains,60.03,Eileenberg,2024-02-24,Truck,Food Bank,7,2.9
Finley PLC,Frozen Food,66.61,North Nicole,2024-04-28,Drone,Farm,4,1.3
Gonzalez Group,Dairy,67.94,Port Laurenstad,2024-10-05,Walk,Grocery Store,5,1.3
Hall-Moreno,Grains,78.7,Port Shannonfurt,2024-05-31,Walk,Farm,9,1.3
Soto-Bruce,Canned Goods,28.85,New Rachel,2024-07-15,Walk,Restaurant,4,1.6
"Beck, Morrow and Valdez",Snacks,17.66,Mezastad,2024-10-16,Walk,Farm,2,2.4
Melton Inc,Meat,28.1,Ronaldborough,2024-08-31,Walk,Grocery Store,5,0.5
Diaz-Booth,Fruits,61.63,Patrickbury,2024-03-17,Truck,Restaurant,4,1.6
"Silva, Davis and Cox",Meat,29.58,South Carol,2024-04-19,Truck,Supermarket,1,1.5
Fletcher-Long,Dairy,19.37,New William,2024-03-29,Walk,Supermarket,1,2.6
Hess-Watts,Canned Goods,49.82,North Jerome,2023-12-25,Bike,Restaurant,3,2.3
"Fry, Wallace and Edwards",Bakery,88.77,New Daniel,2024-03-04,Walk,Restaurant,8,1.3
Hudson-Novak,Snacks,69.95,South Jasontown,2024-10-08,Walk,Food Bank,1,1.3
"Flores, Simon and Thompson",Frozen Food,11.7,South Julian,2023-12-11,Truck,Food Bank,6,1.6
"Hunter, Wolf and Wright",Fruits,21.69,Lake Angela,2024-11-04,Drone,Food Bank,7,1.8
"Boyd, Perry and Smith",Fruits,73.76,Hendersonshire,2024-03-21,Bike,Supermarket,3,2.8
Murphy Ltd,Fruits,15.04,South Jodyburgh,2024-05-17,Drone,Grocery Store,5,1.7
"Estrada, Higgins and Thompson",Frozen Food,58.99,Johnside,2024-09-16,Walk,Grocery Store,6,2.0
"Rodriguez, Daniel and Lawrence",Fruits,27.38,Beltranside,2024-04-01,Walk,Restaurant,4,0.8
Giles-Hunt,Bakery,66.44,Port Nancy,2024-08-28,Truck,Restaurant,9,2.4
Williams Group,Meat,92.45,Lake Kimberly,2024-09-21,Van,Food Bank,6,3.0
Reese Ltd,Vegetables,87.95,Lake Sharonfort,2024-05-23,Bike,Grocery Store,9,1.6
Serrano-Cole,Fruits,8.56,Port Amanda,2024-10-25,Drone,Food Bank,3,2.9
Wilson LLC,Dairy,86.86,Zimmermanville,2023-12-23,Drone,Farm,8,0.5
Walker-Martin,Fruits,43.78,East Lauraport,2024-08-04,Van,Supermarket,4,2.2
Thomas-Smith,Canned Goods,9.33,Port Megan,2024-03-03,Bike,Restaurant,7,1.8
Reese-Davis,Snacks,43.28,Adamfurt,2024-06-23,Drone,Supermarket,3,2.8
Strong-Russell,Grains,75.46,West Natalie,2023-11-20,Drone,Supermarket,5,3.0
Goodman and Sons,Meat,84.47,New Michelefort,2024-01-14,Walk,Food Bank,8,1.1
Kelley and Sons,Frozen Food,51.68,West Donald,2024-02-08,Drone,Restaurant,3,2.2
Meadows PLC,Meat,66.7,North Jonathanberg,2024-07-11,Walk,Restaurant,4,2.3
"Padilla, Jenkins and Taylor",Fruits,98.1,Kimberlystad,2024-10-27,Van,Food Bank,3,1.8
Donovan-Mason,Bakery,34.26,New Josephton,2023-12-20,Truck,Grocery Store,7,0.6
"Hart, Reese and Hobbs",Meat,48.33,Lake Meredith,2024-02-11,Truck,Food Bank,5,1.9
Johnson Inc,Snacks,81.06,North Emma,2023-11-25,Bike,Grocery Store,5,2.8
Hoffman-Brown,Meat,14.21,East Jack,2023-11-23,Truck,Restaurant,5,0.8
"Clark, Robbins and Brown",Meat,39.56,South Denise,2024-11-11,Drone,Restaurant,9,1.0
"Porter, Garrison and Eaton",Snacks,83.03,New Clayton,2023-12-28,Truck,Restaurant,2,2.7
Bond-Wall,Vegetables,11.17,North Carly,2024-10-23,Van,Restaurant,4,1.7
Burch and Sons,Grains,13.72,Tonyaburgh,2024-07-10,Van,Grocery Store,3,2.3
"Harris, Anderson and Lewis",Snacks,92.39,South Frederick,2023-12-23,Bike,Grocery Store,8,1.6
King-Serrano,Bakery,14.79,New Kimberly,2024-07-17,Truck,Grocery Store,3,1.8
Martinez Inc,Vegetables,17.44,Lake Thomas,2024-03-26,Bike,Supermarket,3,2.4
"Ortiz, Houston and Moore",Vegetables,93.94,Kaisertown,2024-07-31,Walk,Farm,9,1.5
Mcdaniel-Wagner,Meat,49.11,New Ronald,2024-04-08,Bike,Farm,8,1.3
Turner PLC,Grains,39.69,East Deniseview,2024-04-03,Van,Restaurant,9,2.0
"Cannon, Anderson and Bennett",Snacks,88.49,New Anthony,2024-04-26,Van,Farm,9,2.8
Campbell-Hoffman,Snacks,86.54,New Michaela,2023-12-03,Walk,Food Bank,1,1.6
Brown-Garcia,Grains,7.55,Stevenmouth,2024-06-01,Walk,Farm,2,1.6
"Anderson, Jacobson and Estes",Canned Goods,24.09,Marissatown,2024-08-20,Bike,Grocery Store,1,1.9
Rose PLC,Dairy,81.43,Jaredborough,2024-11-05,Drone,Grocery Store,3,1.4
Turner-Watts,Snacks,88.21,Kimbury,2024-04-23,Drone,Grocery Store,4,2.8
"Ferguson, Contreras and Shea",Meat,91.64,Ballville,2024-11-13,Drone,Restaurant,7,2.3
Hughes-Allen,Canned Goods,20.48,West Caitlinmouth,2024-07-03,Walk,Restaurant,1,2.5
Snyder Ltd,Bakery,52.23,West Mary,2024-11-10,Truck,Farm,1,2.8
Rose-Wilkins,Vegetables,74.15,Moodyberg,2024-07-16,Walk,Food Bank,1,1.6
"Chan, Gomez and Jones",Meat,24.74,Port Timothyshire,2024-04-18,Bike,Supermarket,7,2.6
"Martin, Johnson and Knapp",Fruits,21.76,Williamsmouth,2024-05-01,Drone,Restaurant,3,3.0
Garcia-Ortega,Grains,49.16,Stanleyfort,2024-06-01,Walk,Food Bank,3,1.0
Powers-Nunez,Dairy,9.73,South Keith,2024-10-26,Bike,Farm,2,1.6
Moore-Sosa,Meat,6.81,North Carolfort,2024-02-11,Van,Food Bank,5,2.2
Whitney Inc,Fruits,91.57,South Josephstad,2024-09-24,Truck,Restaurant,8,0.9
Dunn-Valdez,Grains,58.76,Nancyhaven,2024-11-13,Walk,Food Bank,2,0.9
Lambert Group,Bakery,84.62,Guerrahaven,2024-05-04,Truck,Restaurant,6,0.9
Lin-Hale,Vegetables,66.42,New Carlosville,2024-06-08,Bike,Farm,3,0.7
Anderson-Davis,Fruits,12.67,Port Donald,2024-01-09,Drone,Supermarket,2,0.7
Roberts-Barker,Snacks,52.14,Ashleytown,2023-12-13,Bike,Supermarket,4,1.7
Jones LLC,Bakery,49.42,Jonesfurt,2024-02-19,Walk,Grocery Store,9,2.2
Watson and Sons,Canned Goods,89.56,Crystalland,2024-03-26,Drone,Restaurant,8,2.8
Hood-Wright,Frozen Food,45.15,Harmonfort,2023-11-19,Truck,Supermarket,5,2.8
"Walker, Abbott and Moreno",Grains,20.72,North Andreafurt,2023-11-26,Walk,Restaurant,9,2.0
Smith-Walker,Grains,30.5,Stephenberg,2024-06-25,Truck,Restaurant,2,2.5
Haley-Vazquez,Grains,16.42,Lake Carla,2024-04-30,Van,Restaurant,1,2.4
"Donovan, Collins and Schwartz",Canned Goods,24.87,South Stephanieside,2024-01-31,Walk,Restaurant,6,2.9
Evans-Hubbard,Fruits,73.49,Candiceburgh,2024-06-11,Bike,Grocery Store,5,1.6
Clarke LLC,Fruits,37.49,Jenniferport,2023-12-19,Van,Restaurant,9,0.9
"Robertson, Gillespie and Moore",Snacks,55.26,Michaeltown,2024-06-19,Bike,Farm,4,2.2
Wilson LLC,Bakery,57.34,Tylertown,2024-03-06,Bike,Farm,9,1.4
"Tapia, Perez and James",Meat,33.42,East Pamelaport,2024-09-02,Truck,Food Bank,2,1.3
Whitaker and Sons,Grains,6.23,Schultzfurt,2024-02-13,Walk,Supermarket,8,1.3
"Hernandez, Lawrence and Kent",Fruits,78.59,West John,2024-04-17,Van,Supermarket,3,1.8
Rivera-Smith,Dairy,95.71,South Matthewmouth,2023-11-29,Drone,Grocery Store,9,2.2
Rhodes-Stephens,Vegetables,56.8,New Mary,2024-02-22,Drone,Restaurant,7,2.4
"Burns, Brown and Anderson",Vegetables,81.34,Coxmouth,2024-10-12,Walk,Farm,3,2.8
Washington-Peters,Snacks,69.23,Sextonborough,2024-07-24,Bike,Food Bank,5,1.5
